username,rating,review_text,date,likes,comments,viewing_type,user_liked
mermaidonfoot,2,Nakakairita si Alex G,2024-12-20,0,0,watch,False
chocofbrownie,5,in mommy divine & princess sarah we trust🤞🏻,2024-11-28,0,0,rewatch,False
adi_philomena,6,parang bato talaga si richard yap kahit kailan,2024-12-03,0,0,rewatch,False
saccharinne_1,6,"bakla ako pero di ako bakla langpls dont ask me why im suddenly watching corny vice movies 😭😭😭😭 ANG MAHALAGA TUMAWA AKO, OKAY",2024-12-13,3,1,watch,False
naevely,6,og was better also PAMPANGA MENTION 🎉🎉🎉🎉🦅🦅🦅🦅,2024-12-11,0,0,watch,False
thejohnags12,5,"nvm hindi pala sisterakas...eto ata yung may pinakamaraming pa-time capsulein retrospect, praybeyt benjamin is groundbreaking. a gay-led motion picture that was once the highest grossing film in the country. and all because of a name—vice ganda. from then on, lahat ng films ni vice, nagiging highest grossing. ang celebrity status niya ay nasa upper echelon na. people see vice films because it's vice. came this sequel. two ingredients for its immediate success: first film being an instant cult classic + household name = highest grossing film. but, the lost potential is palpable. i wonder what it would've been like if the sequel focused more on the LGBTQ+ spectrum getting in the military (since it's one of the messages of its predecessor). nonetheless, it has its moments. it's watermarked by the pop culture era that was occuring at the time. and the films serves its purpose—to bring joy and laughter. and sometimes, that's enough.",2024-12-10,0,0,watch,False
_ryanista,3,im soooo curious ano kayang reason bat hindi ni-recast si jimmy santos bilang tatay ni vice dito 🤣🤣,2024-12-10,0,0,watch,False
b0xding,6,pangit na aktor ni richard yap omfg 😭 DAMI KONG TAWA THO!!!,2024-12-07,0,0,watch,False
emeryuh,8,super iconic talaga ng push mo yan teh scene pota ang random,2024-12-03,0,0,watch,False
noveaucaine,3,laro hahahaha,2024-11-30,0,0,watch,False
linosalad,2,first one was better,2024-11-27,2,0,watch,False
amonstercalls,2,"Walang puso, puro cheap humor lang unlike sa first movie na kahit paano nakakatouch.",2024-11-24,0,0,watch,False
krnasgf,10,mas nakakatawa yung una pero BWHSHHSHAHAAHAH,2024-11-21,0,0,watch,False
gabhaiku,5,may part 1 pala to haha,2024-11-20,0,0,watch,False
nidhyakumar,,nakatulog ako 5/5,2024-11-12,0,0,watch,False
cronchtine,5,So campy,2024-08-02,0,0,watch,False
s4pph1cwh0re,2,gagoh hahahah nag knife mid sila,2024-11-02,0,0,watch,False
draxixm,4,sobrang camp nung nagzumba sila para idifuse yung bomba i cannot hahahahahaha,2023-12-23,1,0,watch,False
vndui,4,"ngl, crush na crush ko rin dati si richard yap BWHAHAHAHHAHAH the ending was really funny and accurate for me if i was still young",2024-03-14,0,0,rewatch,False
386423,,this is the real train to busan,2024-10-06,0,0,rewatch,False
kyeelyrve,4,aliw sha nak,2024-09-29,0,0,rewatch,False
sassybee,4,i love you meme vice but this was a boot,2024-09-22,0,0,watch,False
viking2025,10,Very Funny Movie,2024-09-19,0,0,watch,True
cass_2015,10,Good comedy movie! Nice one vice!,2024-09-19,0,0,watch,True
keidee3,10,Nice movie!,2024-09-19,0,0,watch,False
chongskie,10,must watch this!!surely you will enjoy this movie,2024-09-19,0,0,watch,True
chongskie,9,i really enjoyed watching this movie...must watch this!!,2024-09-19,0,0,watch,True
msp0010,10,Very Laughing movie,2024-09-19,0,0,watch,True
xaxxinno,,why does my pinsan ate mics looks and acts the way alex gonazaga is in here,2024-09-07,0,0,watch,False
justcupid,6,the first movie i watched in the cinema with my parents and sister🥹,2023-11-05,0,0,rewatch,False
ywhdrl,6,sarap mo richard yap,2024-09-07,0,0,watch,False
