username,rating,review_text,date,likes,comments,viewing_type,user_liked
fieabag,4,Hay ewan ko rin hahaha,2022-08-09,1,0,rewatch,False
potatodotcom,5,BIMBIIII~ (just imagine it in kris's voice),2022-07-01,0,0,watch,False
kendrickclement,3,"Praybeyt Benjamin is my favorite Vice Ganda Film, yet.This second film was quite a disappointment.Again, we need some good vibes, it was Christmas back then, Holiday season, so we watched Vice Ganda Film for the good vibes.",2022-09-05T09:02:34.324Z,0,0,watch,False
notatakenhandle,3,generated crickets......unkabogable = mare > girl boy > sisterakas > petrang > amazing,2022-10-11,0,0,watch,False
sinenini,3,oooo slay i guess … mm ok i watched this in cinemas when i was a kid and when i rewatched it with shobe today i forgot what it was actually about. somehow this was all repressed and i only remembered the zombie subplot 😭 i love direk but also parang nagdagdag lang ng mga “”funny”” celebrities or trendy? ones during this time in hopes of adding to the comedic value when they could have focused more on benjie’s squad dynamics bc they were rly so funny in the first film . as in yun pinakamemorable frfrfr . ngayon ko lang din napansin na jimmy santos was replaced here in his role as benjie’s tatay pala … idk why that makes me sad but it does for some reason (reason: nostalgia),2022-12-16,0,0,rewatch,False
lanidelrey,1,I love my people but I have yet to love their movies haha,2022-12-25,0,1,watch,False
gyunism,2,hindi ko alam kung bakit ko siya pinanood pero ok lang siya siguro hahahahahah amp???,2022-12-29,0,0,watch,False
rawrzamyrrh,2,i can't believe i'm starting the year with this😭,2023-01-01,0,0,rewatch,False
zyhh,4,tanginang acting yan buti na lang nakakatawa kahit papaano,2023-01-05,0,0,watch,False
letusprei,2,chaka kasalanan mo alex gonzaga,2023-01-07,0,0,watch,False
hwangmiguel,6,"Sarah?Miss Minchin?Hindi! Mommy Divine!Halika na, Sarah! Tabe!BWHAHAHAHSJJSJDJSJSJAJSJHDHDHDJDDJDJD TANGINAA",2023-01-08,0,0,watch,False
filmusings,5,praybeyt benjamin is a gay icon! he served the country and he served while doing it period!!!! sobrang panira nga lang ng movie yung isang chaka na apologist diyan bwisit ka alex gonzaga,2023-01-08,0,0,watch,False
vincibles,2,Mga kailangan mag acting workshop:- Al*x Gonz*ga- Ser Chief (pogi mo po)- Bimby- yung mga dating lalaki (allegedly) ni meme na bit players,2023-02-02,0,0,watch,False
kainoa,1,Alex Gonzaga is literally box office poison. She's worse than racumin.,2023-03-07,0,0,rewatch,False
sapph1c,3,truly SERVED the country mabuhay ka pilipinas 🇵🇭🇵🇭,2023-03-08,0,0,watch,False
peterpiperpick,6,kalimutan ko,2023-04-16T14:11:48.565Z,0,0,watch,False
cinemaniara,2,MEH,2023-04-26,0,0,rewatch,False
cromuelized,2,"Tzu? Pagkain? Si Kim Chiu di kumakain. Nakita mo ang payat-payat.Guilty-pleasure ko to eh, bakit ba?",2023-06-03,0,0,rewatch,True
eyonine,4,v camp lol,2023-06-11,0,0,watch,True
akosipatroclus,2,"The only aspects redeemable in this film are the songs: Boom Panes! and Push Mo Yan Te. daming eye candy na male actors pero display lang ang role, ang oa ni Alex G, ang boring ni Bimbie. walang malalim na senaryo kung saan dapat magtagpo at magkalapit ang damdamin nina General Chua at Bimbie. walang matibay na senaryo para maghilom mula sa paglaki ng ulo, kapalaluan at pagiging insensitibo nya si Benjie. siningitan ng pangmalakasang litanya sa dulo na ""bakla ako, pero hindi ako bakla lang""para maipakita na kahit macho ang kontrabidang terorista (simbolo ng kalakasan at patriyarka) eh walang hindi kayang pataubin at talunin ang baklang determinado. hahaha chaka ampota, hindi naman kasarian ang problema, kundi kayabangan, magkaiba ang kayabangan sa totoong katapangan.conclusion; failed.",2023-06-13,0,0,watch,False
