username,date,review_text,rating,source
render_error,,"there's no live action mulan in ba sing se, only praybeyt benjamin",160.0,ltbx
xunwon,,gets kita direk lav,,ltbx
naoira,,BULWAK TAWA KO SA DULO PUTRAGIS HAHAHAHSBWHAHAJBSBWHAHDJAJAGAHAJA,120.0,ltbx
starlitlilies,,vice’s movies never failed to make my day better,100.0,ltbx
chunminxxx,,nakakatawa,160.0,ltbx
donaldcock,,helpful maka gawa ng hiragana worksheet,100.0,ltbx
kusintidor,,hindi talaga makakabog,100.0,ltbx
ldns00,,ICONIC 💅,160.0,ltbx
olinorjean,,EXACTLY!!!,200.0,ltbx
andreeee23,,WELCOME HOME PAPSIII,80.0,ltbx
lyzxuee,,Filo camp in its earliest form,100.0,ltbx
strawbzmatch,,literally mulan for gay ppl,160.0,ltbx
chanybelsss,,iconic,200.0,ltbx
rhaetopia,,so camp 😭,140.0,ltbx
izakbunda,,Funniest Filipino movie ever,200.0,ltbx
daphrice,,ampogi mo tlaga derek ramsey HAYOP had me giggling whenever he came on screen GAGI corny man pero this is so peak srry,200.0,ltbx
kascai,,knskdksbfjensh an amazing feat of managing to be pro-military and pro-lgbtq at the same timegay people will save the world,,ltbx
liliandfilms,,some jokes still funny but watching it after a decade some jokes just ain't it,100.0,ltbx
luckypenguingam,,a legend (boom panes) was born,60.0,ltbx
claudiary,,yung credits 😭 callalily - bullies hahhhahahahha plsss,140.0,ltbx
nooktown,,kasing labo ng poster ung quality ng jokes,100.0,ltbx
sofieyah,,if mulan was gay,160.0,ltbx
jezzinator,,Certified hood classic.,160.0,ltbx
lo0rem,,me sa afp: WELCOME HOME PAPSIEEEEE!!!!,,ltbx
sebastiandpy,,"benjamin santos is ahead of her time, vv timely and relevant, bring back comedy movies with 2x speed scenes and corny ass linesmy dad and i used to watch this before bwhahaha good old days",140.0,ltbx
siernsonto,,good watch,140.0,ltbx
persephone21,,‘yung tawa ko😭,120.0,ltbx
tontwo,,I love vice ganda,200.0,ltbx
tideofrage,,mulan if she served kanto (cunt),140.0,ltbx
myluvrs_,,so funnyy,200.0,ltbx
thirdied,,best vg film fr,200.0,ltbx
jnsenjae,,phenomenal box office superstar!,200.0,ltbx
weicu,,pag bakla salot agad? hindi ba pedeng malas munasana mamura din ako ni kean cipriano🤓,120.0,ltbx
filmandher,,still so funny,100.0,ltbx
bagnetnicarson_,,the OG mulan live action,120.0,ltbx
evvyonn,,"classic comedy film in the ph. tho, as far as my memory, its not as iconic as the 2nd movie but still enjoyed it. also, i love the representation of lgbtqia because when most people sides up waiting to see you fail just because of your sexuality is absurd, but proving them all wrong is immaculate.",100.0,ltbx
nuemz,,mulan of the ph,160.0,ltbx
anne_eli,,"when i was a kid, i thought this was funny. now that im older, i STILL think this is vice’s best film. idc about political-correctness when its praybeyt benjamin on the line",160.0,ltbx
romanwars,,one day i’ll tell my kids this is live action mulan,80.0,ltbx
monere,,Mabuhay ang queer cinema (😂1),120.0,ltbx
lumengxd,,"The scene where he have to shoot the standee of Brad Pitt and Tom Cruise got me.😭 Same Benji, same.",140.0,ltbx
ehshsjaja,,My OG 🫶,200.0,ltbx
jusiopao,,The film that boosted Vice Ganda's career to stardom🫡,120.0,ltbx
lagascakurt,,queer camp excellence. MABUHAY ANG MGA BAKLA!!!!!!,120.0,ltbx
nat4sale,,this is how you adapt MULAN correctly btw!,140.0,ltbx
rietenly,,gays can do more and BETTER than straight guys na puro pasarap lang ang alam gawin,200.0,ltbx
dndrhi,,faveee 😍,160.0,ltbx
basedoz,,Peak Vice Ganda,200.0,ltbx
leoncore,,iconic,160.0,ltbx
hotgago,,"the movie itself is ok lang tbh. However, like it or not, the cultural significance of praybeyt benjamin as one of the first and most successful vice ganda blockbusters warrants at least respect.",120.0,ltbx
nluvart,,cutie lagi si kian cipriano diri,,ltbx
daliddor,,Vice Ganda is so so so funny,100.0,ltbx
esoterina,,"""long live the gays""been wanting to watch this for so long. there's so much about this movie. the dad's science hats. the. uh. i was gonna list more but i literally can't think of anything except the one scene where the dad was wearing a gir hat. hello. at one point in the movie we'd been in a training montage for fucking ever and i had to ask ""when are they gonna fight the terrorists"" and i realized we only had 30 minutes left. worth it though. i do really adore how profusely benjie's family loves and accepts him. it's earnestly sweet tbh. anyway. jon watters vice ganda and gregg araki dream blunt rotation but not really",120.0,ltbx
akoaris,,My bf forced me to watch it,20.0,ltbx
miksnmatch,,di natapos,,ltbx
extraterastrial,,WELCOME HOME PAPSI,160.0,ltbx
he_l0w,,“syempre pang-kabayo toh”,200.0,ltbx
lucillelured,,mulan pero bading at nandiyan si derek ramsay,140.0,ltbx
rafareviews2131,,Laro laro lang,160.0,ltbx
notaspider,,A movie night classic with my Filipino fam. It’s absurdly camp and entertaining enough to keep me watching.,140.0,ltbx
angzelo,,"""paano niyo nakita?""""pumikit kami""",180.0,ltbx
zowiemoma,,sino nagimbento neto punyetang mga sound effects kala mo lasing ako,120.0,ltbx
errainegoaway,,edi i-log,,ltbx
_mayari,,2 days late na review xd pero tuwing naalala ko yung “bakla ka no” “wititit” tawang tawa ko punyemas 😭😭😭😭😭😭😭😭 ambabaw lng also shet nikki valdez ?!??,140.0,ltbx
_carlllll_,,bading lang pala ang kailangan para matalo ang tsina,120.0,ltbx
destj_13,,i remember seeing this in the cinema. napakaingay kasi lahat tawa ng tawa. one of direk wenn and vice's best!,180.0,ltbx
maveytots,,"We have to admit — at the time this film was groundbreaking. Vice Ganda was paving the way for more LGBTQIA+ Films with an actual LGBTQIA+ representation in Philippine Cinema. This film, which now many may not always appreciate, is still a feel-good movie for many Filipinos. Regardless of the shallow comedy, its magic in connecting with trends at its time, as well as heralding the Pinoy humor, makes this a staple film in every Filipino household.",60.0,ltbx
everybobi,,"i love it when an ensemble cast has their own agendas like thats my band of misfits coming together to serve (in the military).i dont really get why people say this is a bad film when it really is a family friendly comedy film about outsiders wanting to people to be proud of them, and at the end of the day, that is just every filipino.i think that's why near the beginning of the film benjamin reiterates that someday people will be proud of him! and he suceeds this not by fitting in with the hypermasculine standard but the authentic him. this is not a stupid film, instead, it's well written!booing everyone that hates a film just because it's a comedy at the forefront!",200.0,ltbx
rshinzzz,,hindi nga daw sha bading!,120.0,ltbx
ionxy,,"if you like watching stuff that will literally make you laugh, you'll like this one. also, very-filipino ang set up, sooo yeah.",120.0,ltbx
omaiow,,BONGGAAA,140.0,ltbx
patricksunga,,dr. wenn knew to end it all before the woke era,120.0,ltbx
urfavealto,,"I just watched an edit of VG saying that people say their movies were trash BUT then nung mga oras na down na down yung mga Pilipino, pinasaya tayo ng mga pelikula niya.Not a fan of theirs I don’t really like mockery as a joke nor do I like hearing them blatantly call people stupid for “voting wrong” but I respect them for this.As somebody who’s been called a film snub & a snub IN General (not true).. i think that I’ve been having a shift on what constitutes a good filmFilipinos don’t have the same luxury I have of watching four films a day. With their 9 to 5s and responsibilities. I would love to see more films & tv shows that will make people happy :)) , forget about their troubles, all while being relatable & uplifting. The good thing about creating art is how u don’t really have to invent anymore. With everything that’s happening in the world. We do not have the luxury of creating art that is not a reflection of our society",200.0,ltbx
rivervidal,,sobrang deserve ni meme nung nanalo siya because of this movie. LOVE LOVE LOVEEEEE,200.0,ltbx
earrings,,nakita ko kasama nila si colonel ehsinong colonel?si hildasinong hilda?si hilda colonelyahooo,,ltbx
unhoely,,yassified mulan hangkulet 😝✌️🏾,20.0,ltbx
divinether,,rotc core ka baks,60.0,ltbx
louielacroix,,mulan the filipino live-action: baklang version,100.0,ltbx
jagmnn_,,Wahahahahahhs,200.0,ltbx
opiancon,,www 3 is coming. i think i watched the wrong movie for war.,40.0,ltbx
ceoshn,,watching this while drunk w friends is a life-changing experience,160.0,ltbx
riyoatsuki,,can-thought-ten mo ako derek ramsay,160.0,ltbx
isonder,,"a classic. (word vomit ahead)i mean gets na some plot might be problematic in today's generation but still it's iconic.it shows how society views queer people— as a queer myself in a country where you're treated as plague it's hard to express yourself. it might be normalized now in ph, but i still think it's not totally accepted, we're just tolerated. queer people has to prove themselves by achieving something just to fill in their ""flaws"" because for them to accept you—you have to be this successful individual or else you're nothing but labeled as ""salot sa lipunan"". it's hard when what you only want is respect as a human being :)",180.0,ltbx
scottyminaj,,mulan if she’s cuntier,140.0,ltbx
daniduchie,,"Its still so funny, the nostalgia its giving",140.0,ltbx
hyzhaus,,"god i love vice's classics sm; this silly little film still has a place in my heart as one of my fave vg films, or films in general",140.0,ltbx
kannesfilm,,ang laff ko,120.0,ltbx
halloblax,,"hahays, a classic, idc what yall say this was a great laugh, really enjoyed all throughout despite the anti-gay statements that slightly triggered my fight or flight response.",140.0,ltbx
alive_girl,,Only real cinephiles would get vice ganda (me and martin scorsese),100.0,ltbx
brie_pov,,this is peak cinema. idc,200.0,ltbx
lousol,,this movie is the reason for my a+ humor,200.0,ltbx
misssaigon,,TANGINA NG WELCOME HOME PAPSI BE HAHAHAHAHA,200.0,ltbx
amarlanzia,,First ever filipino movie that I loveeeeeeee,200.0,ltbx
yuriphoria,,FORGOT TO MENTION NA SOBRANG GWAPO NI KEAN DITO FAWKKKKKKK,140.0,ltbx
burateater,,Tatlong beses akong nilabasan sa pelikulang to 💯,40.0,ltbx
edcelgonzales,,"It's giving Mulan meets MMFF, campy patriotism and some punchlines that hit harder than the actual plot.",100.0,ltbx
