username,date,review_text,rating,source
insane666,2025-10-02,dagdag ko lang sa films ko kasi napanood ko to sa cine dati nung bata aku hahahaha naalala ko iniyakan ko to hanggang pag uwi namen diko alam kung baket hahhahahahahajahahahajahajhahaja ang kulet hanggang leeg,20.0,ltbx
cherriluvscola,2025-09-12,religious trauma gonna eat dinuguan after this,40.0,ltbx
hatdiggitydog,2025-08-10,Propaganda slop,,ltbx
chrisales,2025-05-18,Absolute cult classic ,200.0,ltbx
disposedscalpel,2025-04-18,i'd rather watch sausage party than ts,,ltbx
mattyakamattie,2025-04-13,"just got off of church, and i just remembered this movie existed. i remember being told by the minister of my local to watch this movie during bible study sessions, and to tell him the things i’ve learned about his life, and my god was this the most BORING MOVIE I’VE EVER WATCHED. ALMOST THREE HOURS, AND BEING ONE OF THE MOST EXPENSIVE MOVIES TO BE MADE IN THE PHILIPPINES, AND FOR WHAT? NO SUBSTANCE. GET ME OUT OF THIS CHURCH, DARE I SAY, CULT ",20.0,ltbx
elijahweed,2015-10-09,bwhshahaha,20.0,ltbx
alysterjohn,2025-01-27,"The only thing I have ever been disappointed in with Dennis Trillo. I mean, sure, get that bag, king. But I would think he's rich enough to choose the projects he's given and not include himself in cult propaganda. Seeing the trailer years ago was enough for me.",20.0,ltbx
cigsfortwo,2025-01-26,"the things i do for you, dennis trillo.",40.0,ltbx
buchmanster,2025-01-25,"walang paglagyan sa katawan ko yung tuwa.... ""hanggang leeg""-Kapatid na Arlene",20.0,ltbx
bogambilya,2024-12-11,hanggang kailan ka po mamamalagi sa iglesia ni cristo? hanggang leeg po,20.0,ltbx
elijahweed,,PROUD INC,20.0,ltbx
fourrrrthiv,2013-09-04,"nilibre kami ng ticket para manood sa rob pero nakatulog ako sa ginaw. lakas ng aircon don, grabe! magaling yung actors pero mas trip ko yung ibang shows nila.",20.0,ltbx
vannella,2015-10-07,uhmm,20.0,ltbx
tashakate,2024-10-17,sat on my ass for 3 hrs straight being forcibly lectured on christianity……… complex feelings abt this one,,ltbx
sandi19,2024-09-03,Reliving my religious trauma. Half star for me maybe funding atleast one extra in this film as a former INCult,20.0,ltbx
caparinwoe,2024-09-03,Me when im mentally ill and experiencing a midlife crisis,,ltbx
hamptersufo,2024-04-28,womp womp,20.0,ltbx
edmundnishikata,,"I describe this film in one word.""Meh.""",40.0,ltbx
leynard99,2024-03-20,Di ko tinapos par baka maakay ako par e,,ltbx
erfe,,cult.,20.0,ltbx
charles2002,2024-01-21,"After watching GomBurZa, I got interested in checking out other Filipino religious biopics, this is the first that I watched after that. A three-hour film chronicling the life and times of Felix Manalo and his church Iglesia Ni Cristo. This film starts during his early childhood days up to his demise. It's difficult to make a biopic with such scope, other biopics tend to focus on one important event of someone's life but this film really tried to cover everything, I must say that they were able to achieve in showing the essence and ideals of the church leader in their perspective but provided merely a glimpse of the significant events that challenged the institution since they transitioned from one important event to another every 2-3 minutes. The make-up and cinematography were bland and cheap for a film hailed as the most expensive in the Philippines. The screenplay was decent but most of it came from an established material which is the Bible and the storytelling was preachy and hero-worshipping, I guess we can't avoid that because this is more of the ""basketball highlights"" of Manalo rather than an unbiased biography. It's a film you can compare to Maid in Malacañang but slightly better. This film has its merits but the obvious one-sidedness and bias towards Manalo made the film more of a propaganda.",80.0,ltbx
sammumerp,2023-12-26,"Why is everything so overlit like they're all in heaven?Why are scenes where a person is talking to a table edited into like 8 shots per second?Why are there A-list celebrities being wasted playing such insignificant roles that waste their talent? Why is the sound mixing so bad? Why is the spoon stirring the tea louder than dialogue? Why does it go weirdly silent sometimes like it had been paused?Why does the main character have no emotion whatsoever? Why is 40% of his lines quoting bible verses instead of like being anything resembling a human being?Why was his first love shown when it plays no part in the movie and in any relation to him at all?Why did every problem I have go away during the WW2 scenes? Why would you suddenly show competence after 2 and a half hours of flat framing, stitled writing, dead acting, shitty sound mixing and jittery editing?And why did they make us watch this shit after we all have obviously watched it multiple times already? Fuck this shit.",60.0,ltbx
idontlikeguns,,A CULT classic (litterally),20.0,ltbx
overdgardenwall,2023-02-13,kulto,20.0,ltbx
frandz,2023-02-03,boring,20.0,ltbx
roslyakova,2022-11-09,DINUGUAN!!!! ,20.0,ltbx
sabwars,2022-08-24,"i wouldnt trust ANYONE to start a religion after writing a doctrine for 3 days straight without break, that’s just some spontaneous shit Anws, i rlly cant comprehend how this entire “religion” is real. It’s no secret that the entire inc doctrine revolves around them being the true religion and true interpretation of the bible by shitting on other religions and that’s just bad. It really hurts me that a lot of inc friends of mine are traumatized bc of the cult they are under. People are brainwashed, exploited, and stolen from and I hope the members of this cult truly realize the circumstances they are under and be freed from it.",20.0,ltbx
haefalcon,2022-07-25,so bakit nga may bloc voting,20.0,ltbx
alexisxlulo,2022-07-23,whew i fell asleep. if gusto niyo makatulog agad panoorin niyo 'to,20.0,ltbx
aezerie,,Hindi ko pa 'to napanonood pero rate q ½ kasi h8er aq ng INC. --edit--plot twist: inc naging gf ko,20.0,ltbx
slight1,,kung gusto mo mabrainwash ito yung film para sayo,20.0,ltbx
xesinga,2022-06-08,Agahahahhahaha naalala ko kya dami sales nito kc libre tix sa mga members HAHAHAH,,ltbx
