username,date,review_text,rating,source
paklas,2021-11-20,ito ba family movie ng mga inc HHAHAHA,20.0,ltbx
jpaulthunders77,,"don't wanna leave a rating because this movie is kinda controversial for some. i enjoyed some parts of it, some not. it is what it is.",,ltbx
antonioagregado,2021-02-08,Just logging this,80.0,ltbx
eyan,2020-04-20,Cringey sound design.,60.0,ltbx
hongweikai,2016-01-10,"""'Yung hindi tunay na relihiyon, at 'yung hindi tunay na Diyos, 'yon ang hindi kailangan ng tao.""",80.0,ltbx
punq,2017-01-22,"I had been looking forward to this 3 hour epic from the Philippines with it's 9,0 rating on IMDB after nearly 4,000 votes. Supposed to have the highest budget ever for a pinoy movie, and with a star studded cast. However, most of the money probable came from the Iglesia Ni Cristo sect itself, as it tells the story of their origin in a very ""inspirational"" manner. So not unlike just about every religious group sponsored film, it's cringe worthy to watch for a non-believer. Too serious and dull to engage while trying to glamorize the church founder Felix Manalo (2015).From my time in the Philippines I primarily know Iglesia Ni Cristo, with it's spectacular churches, as a place of worship for those with money. A symbol of the wast contrast in Philippines social structure. I remember in Cebu where their church was placed right next to the Norwegian flagged prostitute bars. Quite a bizarre sight. Upper and lower scale society.Anyway, compare this film to the other historic epic produced in 2015, Heneral Luna (2015), Felix Manalo (2015) is a unintentional joke. While the acting is respectable, it's still what these actors do on a daily basis on daytime soaps. Not the worst offender of religious propaganda, it serves as a part filipino history lesson, but it's not the epic it promised to be.",60.0,ltbx
pencilkacespeak,,Felix Manalo was the founder of Iglesia Ni Cristo. He joins so many kind of religious group to find the true and only religion that serves God. He always taught and encourage people base in the bible.,200.0,ltbx
wkPfPAUbNfpBuMoFYghO3s47fEEcq4sXWu73tVpu66cpVtRKCOQia3SLLcGPhM7Hg3sAjtPPcqWF3OSLgu5PhMLFozh0xuPmUQOcmAhxjHYv,,"Awesome movie! As a member of the INC, this tells the struggles of the church in the beginnings and the life Bro. Felix Y. Manalo himself, but continued to grow despite that. Very powerful and inspirational!",100.0,rt
y95vkWnR,,"Felix Manalo movie is well written, with excellent cinematography.",100.0,rt
rVd6LjB3,,One of the Most Inspiring movies I've seen in my lifetime,100.0,rt
