username,rating,review_text,date,likes,comments,viewing_type,user_liked
ccsediaren,7,"Has lot of good moments and an interesting story, but it feels cluttered with a lot of different ideas that don't necessarily succeed in their execution. Kathniel continues to prove they are the top love team in the country, with really convincing portrayals of their mature roles.",2018-09-02,2,0,watch,False
mouseedrowsee,,Who knew Kathryn Bernardo could make me cry,2018-09-03,2,0,watch,True
inahque23,7,"George’s character was somehow all of us in general. Sometimes we get tired or sometimes we feel like almost giving up but in the end we just want somebody to be there for us in that moment. To make us feel or just even tell us that everything will be okay. Primo’s character is also us in some moments of this so called life that we are in. We pursue our passion and only think of ourselves (I think, this is the majority of the millenials). But sometimes, unfortunately there will come a time that we’ll be in a crossroad and we only have to choose one path. Yourself or not yourself. They say, you are lucky if you found what you are passionate about and make a career out of it. But sometimes our stars doesn’t align in what we know we want to pursue and what we need or know to do. I consider myself lucky in my career. Not YET financially but I love what I’m doing and where I am at. My takeaway in the story is that if you love someone, fight for this person. No matter what. Sometimes like Primo, I ask myself, what if I fought for him?",2018-09-03,1,0,watch,False
ellescape,9,MY KN HEART IS SHAKING,2018-09-02,0,0,watch,True
ryceinaboxx,5,lol don't let the same person destroy you again.,2018-09-05,110,0,watch,False
lovelynight,8,i really wish i didn’t cry at this but of COURSE i sobbed !,2018-09-06,59,0,watch,True
ilaya,5,Ang effective ng first 30 mins for me sana nasustain yung ganung approach hanggang sa huli. Yung whole tatay subplot pwede na tanggalin na hindi matatamaan yung kwento.,2018-09-08,23,0,watch,False
reaptides,6,kathryn bernardo must have been tired from carrying this movie with her own two hands,2018-09-08,402,1,watch,False
lazygem,7,"Kathryn's acting was on point in this (and this is coming from someone who wasn't a fan of her acting skills.) The first half of the movie was amazing but sadly it did not captivate me at the same level until the very end, esp. the Amsterdam subplot which made me feel like the film was trying hard to be indie-ish. But still kudos cause it was emotionally packed and for sure a progressive film for the two leads.",2018-09-07,0,0,watch,False
moviegoals,6,"While it doesn’t reinvent the romcom wheel, there is enough emotional depth while staying cute and fun to have a well made wheel. This is a good date movie.www.moviegoals.com",2018-09-08,0,0,watch,False
rgnjyc,8,"kathniel’s best movie to date, they really showed their maturity and acting chops in this one. cathy really outdid her other movies with this!!!!",2018-08-28,0,0,watch,False
s_16,7,"This is a sweet film about two young people who fall in love, fall apart, and come back together. The film has three languages (I think) English, Spanish, and Tagalog (at least I'm guessing so) and cycles through them interspersedly which is fascinating to me because I can't even get beyond the one I currently speak. Both actors look a bit too young to make the time span of the movie completely believable -- they're either together seven years and then separated two or those two years are included in the seven, either way there's supposed to be at least seven years between when they first meet and when the film starts but they don't really look it. Overall a sweet film if nothing surprising.",2018-09-08,0,0,watch,False
kirstenarroyal,6,"i haven’t watched a filipino film in so long and i honestly feel guilty about it,, though the plot for this was expected and dj’s scenes pissed me off, the script still hurt me and i cried multiple times. seeing how much kath and dj have grown ever since 2010 is so overwhelming and their acting for this one is way different and mature. ang lutong ng mura ni kath and it really stood out to me. also the soundtrack is great and it was nice to see that kats and seth were in this. kathniel will definitely always hold a special place in my heart",2018-09-08,0,0,watch,False
lemuel99,6,"It started fast but boring at the same time and movie was definitely cliched. However cinematography was amazing, Amsterdam was so beautiful and so was George all throughout.As the film went by it showed fun, family, and lessons about life and love. It ultimately delivered its message and even hits you where it hurts depending on your own experience.It was okay, I recommend it with your loved one or even family.",2018-09-12,0,0,watch,False
godscharot,7,BARCELONA PA RIN MGA ULUL!!!,2018-09-12,14,0,watch,True
paniquathedisco,6,"Yung huling napanood ko Kathniel, hindi pa ata sila pinapayagang magka-kissing scene nung She's Dating The Gangster? Ngayon, wow kissing scene galore at nakapagbenta na sila ng bahay. Ang tanda na nating lahat, mga bes.Tag yourself. Ako yung gay best friend na may diplomang hindi yayakap sa kanya sa gabi.",2018-09-15,1,0,watch,True
moviegrande,6,"This is why I think Cathy Garcia Molina is one of the best directors of star cinema romance/dramas. The story in ""The Hows of us"" has already been done many times, but the way it's directed and edited makes it much more interesting and charming as some others. It has a very touching ending which I love. Yeah, and its definitely the best Kathniel movie.",2018-09-15,0,0,watch,False
sinetime,8,"it was laughter. it was kilig. it was heartbreaking even if i haven't been on a realtionship, sadly (≧∀≦) but hearing daniel padilla sing his new songs was hella refreshing. i liked the cinematography although i'm not really fond of the flashback scenes, well just bc 😹 and boi, for any kathniel fans out there, there was 7 freakin kissing scenes! ahHhh. altogether this was a great cathy garcia-molina ender for katniel films. she'll be greatly missed :))",2018-09-16,0,0,watch,False
ligayaunderpass,6,uhhhhhhhhhhhh so it turns out i’m in love with daniel padilla ❤️_____❤️,2018-09-18,0,2,watch,True
pjdanque,4,"In this film, when a girl says no, it means “yes but try harder” which sends a wrong message to the audience. Toxic relationships are toxic. Let’s not justify them. Primo was an asshole and his behavior was unacceptable. I’m pissed he got redemption. Also, if my asshole father abandoned my family, why the fuck would I want to see him? Let’s not further perpetuate the notion that being blood related is enough for forgiveness. My favorite rom-com bit is when they were selling their furniture then flashes back to what they were to them. Kathryn never looked this beautiful, proud of her. Hope one day she grows out of Kathniel and figure out better and more independent characters that don’t rely on cheesy romances.",2018-09-19,1,0,watch,False
carloslaron,2,"I’m not going to lambast this movie but I just didn’t feel it. There were moments, and the themes they had I’ll give credit to. Maybe when I rewatch it I’d feel differently? Props to Kathryn Bernardo. Her acting, esp the cursing was great. Other than that, I’m at a loss for a proper review.",2018-09-19,0,0,watch,False
cashlynlee,4,"OMG DARREN ESPANTO, HEY KING!!!! WHY DID DANIEL DO ALL THE SINGING U HAD UR CHANCE TO SNAP",2018-09-23,28,0,watch,False
