Type,Filter,Review Content,Name,Date,Rating,Source Filter
Critic,Critic,"There is both a powerful character study and genuinely funny exaggeration of an established genre within the feature, but the final voice feels torn between these two identities instead of bringing them together into one confident film.",Carson Timar,02/16/2022,No Score,all-critics
Critic,Critic,A delightful spoonful of telenovela goodness.,Ricardo Gallegos,08/12/2021,No Score,all-critics
Critic,Critic,A delightful little surprise.,Bobby LePire,08/11/2021,No Score,all-critics
Critic,Critic,An enjoyable satirical romp for those in the mood for something on the sillier side,Courtney Small,08/10/2021,No Score,all-critics
Critic,Critic,Hayop Ka! is this unusual yet entertaining animated film driven by a sexual frenzy with an insatiable appetite. The film is a romantic smorgasbord of lust with a final act that is smashed between a triple cheeseburger of twists.,Chris Sawin,08/09/2021,No Score,all-critics
Critic,Critic,"Thanks to delightful animation design and charming voice work, we know immediately that this is supposed to be silly, slightly naughty fun, not something smutty or salacious.",Mike McGranaghan,08/09/2021,No Score,all-critics
Critic,Critic,"You Animal! (Hayop Ka!) offers a boisterous swirl of sass, sex and soap opera hysterics.",Allan Hunter,06/16/2021,No Score,all-critics
Critic,Critic,"Hayop Ka! is mostly bark, and barely any bites.",Oggs Cruz,11/02/2020,No Score,all-critics
