review_id,sentence_num,username,date,rating,source,sentence
42,1,machreej,2025-10-31 14:11:46.460,100.0,ltbx,"peak comedy pero may mga jokes na medyo oa for me :""))"
43,1,eggwiners,2025-10-31 00:00:00.000,,ltbx,"Inang platoon yan, Alpha Phi Chupapi"
44,1,f3d3ral,2025-10-31 00:00:00.000,100.0,ltbx,mas maganda to kaysa sa 2nd movie eh pero nakarami nako ng panonood dito eh pero maganda parin
45,1,badjaja,2025-10-28 00:00:00.000,100.0,ltbx,this is my OG Boots
46,1,roizyrilb,2025-10-12 00:00:00.000,100.0,ltbx,Antoinette Jadaone: Anong paborito mong Vice Ganda - Wenn Deramas
46,2,roizyrilb,2025-10-12 00:00:00.000,100.0,ltbx,Lav Diaz: 'Yung sarhento siya
47,1,ashkeyyy,2025-10-27 00:00:00.000,100.0,ltbx,i know this is controversial bc of the underlying political tones of this movie
47,2,ashkeyyy,2025-10-27 00:00:00.000,100.0,ltbx,but when i watched this when i was younger i still love it for how funny it is
48,1,femfatalee,2025-10-26 00:00:00.000,,ltbx,lav diaz made me rewatch
49,1,paulopelikula,2025-10-26 00:00:00.000,100.0,ltbx,ok naman nakakatawa hehe
51,1,reishuko,2025-10-20 00:00:00.000,100.0,ltbx,cant believe u can find this on letterboxd omg
52,1,_rielleeyy,2025-10-21 00:00:00.000,100.0,ltbx,ang funny nya parin till now
54,1,renzellp,2025-10-16 00:00:00.000,100.0,ltbx,hear me out daw ng kaibigan ko ang “straight passing” na vice ganda
55,1,sunsandlemons,2025-10-14 00:00:00.000,100.0,ltbx,"generational, timeless, unkabogable"
56,1,piolotoesucker,2025-10-14 00:00:00.000,100.0,ltbx,Gay Mulan
57,1,maudaldal,2011-10-13 00:00:00.000,100.0,ltbx,life-changing kahit na hindi ko nagets yung ibang jokes kasi 8 pa lang ako non
58,1,miannee,2025-10-12 00:00:00.000,100.0,ltbx,hit movie naman ang praybeyt benjamin pero bakit ang dami pa rin homophobic sa pilipinas
59,1,s_coppola_lover,2025-10-11 00:00:00.000,,ltbx,bring back muscular men
59,2,s_coppola_lover,2025-10-11 00:00:00.000,,ltbx,ayun lang
60,1,mikaeljuan,2025-10-10 01:22:29.798,100.0,ltbx,"Still, the funniest Vice Ganda movie"
62,1,aeramoreugettda,2025-10-09 07:36:49.115,100.0,ltbx,may 10 jokes per second daw
63,1,margaughn,2025-10-08 00:00:00.000,100.0,ltbx,yall dont deserve benjie
63,2,margaughn,2025-10-08 00:00:00.000,100.0,ltbx,"it is so infuriating when people base strength and value on someone's sexuality, not to mention kailangan pang may patunayan bago tanggapin and it doesnt only happen in fiction save me banban kean cipriano save me"
65,1,banaagsagunita,2025-10-04 00:00:00.000,100.0,ltbx,"super benta pq rin ng jokes kahit more than a decade na ang nakakalipazang legendary talaga ng scene na sumasayaw siya para sa lolo niya tas sinigawan lang siya ng bakla hahahaha, the internalized homophobia i say"
66,1,kokokrunch,2025-10-02 00:00:00.000,100.0,ltbx,peak comedy
67,1,xaliania,2025-10-02 00:00:00.000,100.0,ltbx,never akong nabored na-irewatch to
68,1,render_error,2025-09-30 00:00:00.000,100.0,ltbx,"there's no live action mulan in ba sing se, only praybeyt benjamin"
69,1,xunwon,2025-09-28 00:00:00.000,,ltbx,gets kita direk lav
70,1,naoira,2025-09-27 00:00:00.000,100.0,ltbx,BULWAK TAWA KO SA DULO PUTRAGIS HAHAHAHSBWHAHAJBSBWHAHDJAJAGAHAJA
71,1,starlitlilies,2025-09-20 00:00:00.000,100.0,ltbx,vice’s movies never failed to make my day better
73,1,donaldcock,2025-09-16 00:00:00.000,100.0,ltbx,helpful maka gawa ng hiragana worksheet
74,1,kusintidor,2025-09-20 00:00:00.000,100.0,ltbx,hindi talaga makakabog
